held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,10,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,1.0,1.0,1.0,1.0
Benign::rep2,Benign,10,1.0,1.0,1.0,1.0
Benign::rep3,Benign,10,1.0,1.0,1.0,1.0
Benign::rep4,Benign,10,0.9,0.9,0.4737,0.9474
Benign::rep5,Benign,10,0.8,0.8,0.4444,0.8889
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,13,0.9231,0.75,0.8116,0.9119
Cerber::rep2,Cerber,15,0.8,0.4615,0.4444,0.7704
Cerber::rep3,Cerber,16,0.875,0.5,0.4667,0.8167
Cerber::rep4,Cerber,16,0.875,0.5,0.4667,0.8167
Cerber::rep5,Cerber,16,0.9375,0.75,0.8161,0.9282
Dharma::rep1,Dharma,16,1.0,1.0,1.0,1.0
Dharma::rep2,Dharma,16,0.9375,0.9375,0.4839,0.9677
Dharma::rep3,Dharma,16,1.0,1.0,1.0,1.0
Dharma::rep4,Dharma,16,1.0,1.0,1.0,1.0
Dharma::rep5,Dharma,16,0.9375,0.5,0.4839,0.9073
Jigsaw::rep1,Jigsaw,16,0.875,0.8667,0.8667,0.875
Jigsaw::rep2,Jigsaw,16,0.9375,0.9167,0.9307,0.9361
Jigsaw::rep3,Jigsaw,16,0.875,0.8545,0.8545,0.875
Jigsaw::rep4,Jigsaw,16,0.9375,0.9583,0.9227,0.9396
Jigsaw::rep5,Jigsaw,16,0.875,0.8571,0.8667,0.8708
WannaCry::rep1,WannaCry,16,0.875,0.875,0.873,0.873
WannaCry::rep2,WannaCry,16,1.0,1.0,1.0,1.0
WannaCry::rep3,WannaCry,16,0.875,0.873,0.873,0.875
WannaCry::rep4,WannaCry,16,0.75,0.746,0.746,0.75
WannaCry::rep5,WannaCry,16,0.9375,0.9286,0.9352,0.9367
