held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,10,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,1.0,1.0,1.0,1.0
Benign::rep2,Benign,10,0.9,0.9,0.4737,0.9474
Benign::rep3,Benign,10,1.0,1.0,1.0,1.0
Benign::rep4,Benign,10,1.0,1.0,1.0,1.0
Benign::rep5,Benign,10,0.9,0.9,0.4737,0.9474
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,13,0.9231,0.75,0.8116,0.9119
Cerber::rep2,Cerber,15,0.8,0.4615,0.4444,0.7704
Cerber::rep3,Cerber,16,0.875,0.5,0.4667,0.8167
Cerber::rep4,Cerber,16,0.875,0.9286,0.7949,0.891
Cerber::rep5,Cerber,16,0.9375,0.75,0.8161,0.9282
Dharma::rep1,Dharma,16,1.0,1.0,1.0,1.0
Dharma::rep2,Dharma,16,0.9375,0.9375,0.4839,0.9677
Dharma::rep3,Dharma,16,1.0,1.0,1.0,1.0
Dharma::rep4,Dharma,16,1.0,1.0,1.0,1.0
Dharma::rep5,Dharma,16,1.0,1.0,1.0,1.0
Jigsaw::rep1,Jigsaw,16,0.8125,0.7564,0.7257,0.8221
Jigsaw::rep2,Jigsaw,16,0.875,0.7949,0.7949,0.875
Jigsaw::rep3,Jigsaw,16,0.9375,0.75,0.8161,0.9282
Jigsaw::rep4,Jigsaw,16,0.875,0.9333,0.7143,0.9018
Jigsaw::rep5,Jigsaw,16,0.8125,0.7083,0.7257,0.8029
WannaCry::rep1,WannaCry,16,0.9375,0.9167,0.9307,0.9361
WannaCry::rep2,WannaCry,16,1.0,1.0,1.0,1.0
WannaCry::rep3,WannaCry,16,0.9375,0.95,0.9352,0.9383
WannaCry::rep4,WannaCry,16,0.875,0.8667,0.8667,0.875
WannaCry::rep5,WannaCry,16,0.9375,0.9545,0.9307,0.9389
