held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,5,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,1.0,1.0,1.0,1.0
Benign::rep2,Benign,5,1.0,1.0,1.0,1.0
Benign::rep3,Benign,5,1.0,1.0,1.0,1.0
Benign::rep4,Benign,5,1.0,1.0,1.0,1.0
Benign::rep5,Benign,5,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,8,0.875,0.8889,0.8857,0.8714
Cerber::rep2,Cerber,10,0.9,0.875,0.8333,0.9
Cerber::rep3,Cerber,11,0.8182,0.8125,0.8042,0.8121
Cerber::rep4,Cerber,11,0.9091,0.9375,0.9143,0.9117
Cerber::rep5,Cerber,11,0.9091,0.9375,0.9143,0.9117
Dharma::rep1,Dharma,11,0.9091,0.9167,0.76,0.9455
Dharma::rep2,Dharma,11,1.0,1.0,1.0,1.0
Dharma::rep3,Dharma,11,0.9091,0.9375,0.9286,0.9091
Dharma::rep4,Dharma,11,0.7273,0.7083,0.6917,0.6939
Dharma::rep5,Dharma,11,0.5455,0.5208,0.4333,0.4727
Jigsaw::rep1,Jigsaw,11,0.9091,0.9375,0.9143,0.9117
Jigsaw::rep2,Jigsaw,11,1.0,1.0,1.0,1.0
Jigsaw::rep3,Jigsaw,11,0.7273,0.8125,0.731,0.6823
Jigsaw::rep4,Jigsaw,11,0.9091,0.9167,0.9222,0.9051
Jigsaw::rep5,Jigsaw,11,0.9091,0.9375,0.9286,0.9091
WannaCry::rep1,WannaCry,11,1.0,1.0,1.0,1.0
WannaCry::rep2,WannaCry,11,0.9091,0.9375,0.9143,0.9117
WannaCry::rep3,WannaCry,11,1.0,1.0,1.0,1.0
WannaCry::rep4,WannaCry,11,1.0,1.0,1.0,1.0
WannaCry::rep5,WannaCry,11,1.0,1.0,1.0,1.0
