held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,10,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,1.0,1.0,1.0,1.0
Benign::rep2,Benign,10,1.0,1.0,1.0,1.0
Benign::rep3,Benign,10,1.0,1.0,1.0,1.0
Benign::rep4,Benign,10,1.0,1.0,1.0,1.0
Benign::rep5,Benign,10,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,13,1.0,1.0,1.0,1.0
Cerber::rep2,Cerber,15,0.9333,0.9615,0.88,0.9387
Cerber::rep3,Cerber,16,1.0,1.0,1.0,1.0
Cerber::rep4,Cerber,16,0.875,0.7143,0.7143,0.875
Cerber::rep5,Cerber,16,0.9375,0.9643,0.8815,0.9426
Dharma::rep1,Dharma,16,1.0,1.0,1.0,1.0
Dharma::rep2,Dharma,16,0.9375,0.9615,0.6533,0.9675
Dharma::rep3,Dharma,16,0.875,0.6364,0.5993,0.8472
Dharma::rep4,Dharma,16,0.875,0.9231,0.6389,0.9323
Dharma::rep5,Dharma,16,0.9375,0.6667,0.6,0.9125
WannaCry::rep1,WannaCry,16,0.8125,0.8571,0.8424,0.8057
WannaCry::rep2,WannaCry,16,0.9375,0.9444,0.9475,0.9367
WannaCry::rep3,WannaCry,16,0.9375,0.9333,0.9407,0.9361
WannaCry::rep4,WannaCry,16,0.9375,0.9444,0.9475,0.9367
WannaCry::rep5,WannaCry,16,1.0,1.0,1.0,1.0
